,id,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_days_jail,c_charge_degree,is_recid,two_year_recid
5521,8413,Male,25,25 - 45,African-American,0,0,0,3,27.0,F,1,1
2628,4010,Male,20,Less than 25,African-American,0,0,0,0,1.0,F,0,0
302,441,Male,24,Less than 25,Other,0,0,0,0,1.0,F,0,0
5857,8929,Male,30,25 - 45,Hispanic,0,0,0,1,0.0,F,1,1
4105,6251,Male,33,25 - 45,African-American,0,0,0,5,0.0,F,0,0
3441,5262,Female,48,Greater than 45,Caucasian,0,0,0,2,33.0,F,0,0
5586,8511,Male,24,Less than 25,Caucasian,0,0,0,0,2.0,F,0,0
4568,6983,Male,52,Greater than 45,African-American,0,0,0,4,5.0,M,0,0
514,788,Male,28,25 - 45,Other,0,0,0,2,2.0,M,0,0
3220,4932,Male,47,Greater than 45,African-American,0,0,0,3,39.0,F,1,1
4487,6851,Male,27,25 - 45,Caucasian,0,0,0,7,1.0,F,1,1
5633,8593,Male,34,25 - 45,Other,0,0,0,0,1.0,F,1,1
166,251,Female,49,Greater than 45,Caucasian,0,0,0,6,5.0,F,0,0
3836,5854,Male,26,25 - 45,African-American,0,0,0,0,1.0,M,0,0
5647,8610,Male,58,Greater than 45,Caucasian,0,0,0,3,0.0,M,0,0
4977,7576,Male,31,25 - 45,African-American,0,0,0,1,0.0,F,1,1
6824,10406,Male,43,25 - 45,African-American,0,0,0,2,0.0,F,0,0
4784,7296,Male,57,Greater than 45,Other,0,0,0,0,1.0,M,0,0
2739,4181,Male,32,25 - 45,African-American,2,0,0,26,1.0,F,1,1
764,1159,Female,53,Greater than 45,African-American,0,0,0,0,0.0,F,0,0
2002,3039,Male,35,25 - 45,Caucasian,0,0,0,1,49.0,F,1,1
4451,6794,Male,25,25 - 45,Caucasian,4,0,1,13,5.0,F,1,1
2300,3502,Male,34,25 - 45,Hispanic,0,0,0,1,1.0,F,1,1
3252,4970,Male,32,25 - 45,African-American,0,0,0,1,1.0,F,0,0
2624,4004,Female,27,25 - 45,African-American,0,0,0,1,45.0,F,0,0
1513,2318,Male,22,Less than 25,Caucasian,0,0,0,0,1.0,F,1,1
5511,8401,Male,39,25 - 45,Caucasian,0,0,0,16,35.0,F,1,1
2308,3515,Male,40,25 - 45,Caucasian,0,0,0,4,1.0,M,0,0
1681,2561,Female,30,25 - 45,Caucasian,0,0,0,2,43.0,F,1,1
5629,8583,Male,25,25 - 45,African-American,0,3,1,8,1.0,M,1,1
1919,2913,Male,30,25 - 45,African-American,0,3,0,18,18.0,M,0,0
3171,4847,Male,50,Greater than 45,Caucasian,0,0,0,3,25.0,M,1,1
2751,4194,Male,40,25 - 45,African-American,0,0,0,7,36.0,F,0,0
4982,7585,Male,34,25 - 45,Other,0,0,0,2,1.0,M,0,0
3727,5691,Male,26,25 - 45,Caucasian,0,0,0,1,8.0,M,0,0
3439,5260,Male,28,25 - 45,African-American,0,0,0,0,1.0,M,0,0
306,450,Male,21,Less than 25,African-American,0,0,0,1,36.0,F,1,0
4876,7427,Male,27,25 - 45,African-American,0,0,0,8,0.0,M,1,0
1950,2961,Male,33,25 - 45,African-American,0,0,0,0,1.0,F,1,1
5121,7797,Male,69,Greater than 45,Caucasian,0,0,0,6,152.0,M,1,1
4156,6345,Male,20,Less than 25,African-American,0,0,0,0,4.0,F,0,0
880,1334,Male,28,25 - 45,African-American,0,0,0,1,2.0,F,0,0
3640,5558,Male,25,25 - 45,Caucasian,0,0,0,1,42.0,M,0,0
5777,8800,Female,41,25 - 45,Caucasian,0,0,0,9,1.0,M,1,1
4248,6485,Male,56,Greater than 45,African-American,0,0,0,0,7.0,F,0,0
2072,3163,Male,39,25 - 45,Caucasian,0,0,0,0,18.0,M,0,0
7034,10713,Female,24,Less than 25,Hispanic,0,0,0,1,1.0,M,0,0
1772,2687,Male,54,Greater than 45,Caucasian,0,0,0,0,0.0,M,0,0
871,1323,Female,30,25 - 45,African-American,0,0,0,4,1.0,F,0,0
384,579,Male,22,Less than 25,African-American,0,0,0,4,260.0,F,1,1
2129,3260,Male,55,Greater than 45,African-American,0,0,0,21,85.0,F,1,1
1482,2276,Male,37,25 - 45,Other,0,0,0,6,1.0,M,0,0
1861,2828,Female,22,Less than 25,African-American,0,0,0,0,0.0,M,1,1
5390,8216,Male,27,25 - 45,African-American,0,0,0,3,38.0,M,0,0
1059,1627,Female,24,Less than 25,African-American,0,0,0,1,14.0,F,1,0
5680,8657,Male,32,25 - 45,Caucasian,0,0,0,0,5.0,F,1,1
631,963,Male,25,25 - 45,Caucasian,0,0,0,1,1.0,F,0,0
6248,9535,Male,23,Less than 25,Hispanic,0,0,0,1,177.0,F,0,0
2665,4065,Male,23,Less than 25,Caucasian,0,0,1,3,41.0,F,1,1
2572,3930,Male,45,Greater than 45,Caucasian,0,0,0,2,1.0,M,0,0
2313,3523,Male,53,Greater than 45,Caucasian,0,0,0,1,12.0,F,0,0
4454,6800,Male,20,Less than 25,African-American,0,0,0,0,1.0,F,0,0
3652,5576,Male,26,25 - 45,Native American,0,0,0,11,242.0,F,1,1
2269,3454,Male,28,25 - 45,African-American,0,0,0,9,16.0,F,1,1
3574,5456,Male,37,25 - 45,African-American,0,0,0,20,36.0,F,1,1
4648,7105,Male,27,25 - 45,African-American,0,0,0,15,30.0,F,1,1
42,59,Male,29,25 - 45,Caucasian,0,0,0,2,1.0,M,1,1
231,341,Female,26,25 - 45,African-American,0,0,0,2,227.0,F,1,1
6723,10256,Male,28,25 - 45,Caucasian,0,0,0,4,190.0,F,0,0
5429,8268,Male,36,25 - 45,Caucasian,0,0,0,5,4.0,F,0,0
738,1123,Male,50,Greater than 45,African-American,0,0,0,11,2.0,F,0,0
6954,10584,Male,25,25 - 45,Caucasian,0,0,0,2,1.0,F,1,1
6114,9322,Male,20,Less than 25,African-American,1,0,0,1,187.0,F,1,1
4817,7340,Female,31,25 - 45,Caucasian,0,0,0,0,1.0,F,1,1
5537,8435,Male,24,Less than 25,African-American,0,0,0,1,1.0,F,0,0
