,sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,Marital_status,occupation
47097,Female,8,1122,113,1,1,1,2,111,133,2,high_level
37125,Male,9,1122,125,1,1,1,5,111,138,2,high_level
45787,Male,11,1122,113,1,1,1,5,111,139,2,low_level
59370,Female,9,1122,114,1,1,1,2,111,131,2,high_level
32672,Male,7,1122,114,1,1,1,5,120,135,2,low_level
16356,Female,9,1132,114,1,1,1,3,111,131,4,low_level
16611,Male,8,1122,114,1,1,1,4,111,138,2,low_level
9043,Male,7,1122,114,1,1,1,5,111,131,2,high_level
51109,Female,7,1121,112,1,1,1,3,111,138,2,high_level
30561,Male,8,1121,112,1,1,1,5,111,134,2,low_level
51967,Female,5,1110,126,1,1,1,5,111,138,1,low_level
9600,Male,9,1121,112,1,1,1,5,111,135,2,low_level
40245,Female,10,1122,113,1,1,1,5,111,138,2,high_level
38128,Male,9,1132,126,1,1,1,5,111,136,4,low_level
31097,Female,7,1122,113,1,1,3,5,111,135,2,low_level
52113,Female,5,1110,113,1,1,1,3,111,135,1,high_level
26521,Male,8,1121,112,1,1,1,2,111,122,2,high_level
39749,Female,10,1122,114,1,1,1,1,111,133,2,high_level
4159,Male,9,1131,112,1,1,1,5,111,136,1,high_level
44144,Female,8,1122,125,1,1,1,3,111,124,2,high_level
53288,Female,11,1210,111,1,1,1,3,111,138,4,low_level
15890,Female,11,1122,113,1,1,1,2,111,122,2,high_level
34386,Male,4,1110,125,1,1,1,2,112,131,1,high_level
9607,Female,8,1122,114,1,1,1,3,111,135,2,high_level
40119,Female,4,1110,113,1,1,1,2,111,131,1,high_level
9154,Male,10,1122,114,1,1,1,5,111,138,2,low_level
28970,Male,6,1220,126,1,1,1,3,111,133,1,high_level
43709,Male,7,1140,112,1,1,1,3,120,111,1,low_level
24243,Male,5,1110,114,1,1,1,2,111,136,1,high_level
18636,Male,12,1121,112,1,1,1,3,111,136,2,high_level
7011,Male,11,1131,112,1,1,1,3,111,131,1,high_level
58380,Male,11,1131,112,2,1,1,3,120,131,4,low_level
1533,Female,7,1122,113,1,1,1,2,111,122,2,high_level
24670,Female,5,1110,113,1,1,1,5,111,137,1,low_level
40930,Male,8,1122,113,1,1,1,5,111,134,2,low_level
26859,Female,11,1210,111,1,1,1,5,111,138,1,low_level
51291,Female,5,1110,113,1,1,1,2,111,131,1,high_level
3265,Male,10,1122,114,1,1,1,3,111,136,2,low_level
9719,Male,8,1122,125,1,1,1,3,111,133,2,low_level
44314,Female,11,1122,114,1,1,1,5,111,137,2,low_level
49952,Female,7,1132,114,1,1,1,5,111,137,1,low_level
40413,Female,8,1121,112,1,1,1,3,111,137,2,high_level
43354,Male,12,1220,112,1,2,2,1,111,135,4,high_level
43801,Female,9,1122,114,1,1,1,5,111,137,2,high_level
17933,Female,5,1131,112,1,1,1,2,120,131,1,high_level
2319,Male,10,1110,112,1,1,1,5,111,135,1,low_level
15900,Male,9,1122,114,1,1,1,3,111,135,2,low_level
12639,Male,12,1121,112,1,1,3,5,120,138,2,low_level
54879,Male,9,1121,125,1,1,1,4,120,131,2,low_level
15198,Female,7,1131,112,1,1,1,5,111,137,1,low_level
50971,Female,10,1122,113,1,1,1,5,120,135,2,low_level
23629,Female,9,1122,114,1,1,1,5,111,137,2,low_level
22011,Male,12,1122,113,1,1,1,5,111,137,2,low_level
54516,Female,5,1110,126,1,1,1,3,111,135,1,high_level
9209,Male,8,1210,111,1,1,1,3,111,122,1,high_level
17155,Female,7,1122,114,1,1,1,2,111,131,2,high_level
4874,Male,4,1110,113,1,1,1,3,112,135,1,low_level
52192,Female,7,1122,114,1,1,1,3,111,138,2,high_level
14220,Female,11,1131,112,1,1,1,5,111,138,4,low_level
55820,Male,8,1210,111,1,1,1,2,111,131,1,high_level
38668,Female,10,1140,114,1,1,1,5,111,137,4,low_level
28837,Female,6,1210,111,1,1,1,5,111,138,1,low_level
5832,Male,5,1132,113,1,1,1,3,111,136,1,high_level
49653,Female,9,1122,114,1,1,1,5,111,138,2,low_level
38225,Male,4,1110,113,1,1,1,3,112,135,1,high_level
37952,Male,5,1110,126,1,1,1,2,112,135,1,high_level
16223,Female,11,1210,111,1,1,1,5,111,138,4,low_level
56800,Female,7,1132,113,1,1,1,1,111,138,1,high_level
25301,Female,4,1110,113,1,1,1,3,112,132,1,low_level
30969,Female,10,1140,113,1,1,3,1,111,138,4,high_level
11909,Male,12,1122,113,1,1,1,2,111,132,2,low_level
11815,Female,4,1110,114,1,1,1,2,112,131,1,high_level
58726,Female,9,1122,114,1,1,1,5,111,136,2,low_level
43071,Male,6,1122,114,1,2,2,1,111,131,2,high_level
35675,Female,11,1122,113,1,1,1,1,111,131,2,high_level
19850,Male,8,1122,125,1,1,1,3,111,122,2,low_level
23463,Male,6,1122,114,1,1,1,3,120,131,2,low_level
27281,Male,7,1122,113,1,1,1,5,111,122,2,low_level
11424,Female,9,1132,113,1,1,1,5,111,137,1,low_level
50456,Female,6,1220,112,1,1,1,3,111,138,1,low_level
36154,Male,8,1131,112,1,1,1,2,111,135,1,high_level
16922,Male,11,1122,113,1,1,1,5,120,138,2,low_level
53350,Male,8,1131,112,1,1,1,5,111,135,2,low_level
20451,Male,11,1121,112,1,1,1,5,111,136,2,low_level
46118,Male,7,1121,112,1,1,1,5,120,135,2,low_level
