,id_scenario,threshold,metric,high_low,value_metric,acc_test,acc_train_mean,acc_train_sd,log_loss_test,log_loss_train_mean,log_loss_train_sd,portion_pos,portion_unpr
0,0,"5,-0.99",Equalized Odd,High,0.084210187825332,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.4432194046306505,0.6350606394707828
1,0,"10,-0.32",Equalized Odd,High,0.10675902968182163,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.4696802646085998,0.3770672546857773
2,0,"15,-0.04",Equalized Odd,High,0.10636817732675445,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.5756906077348066,0.19558011049723756
3,0,"20,0.14",Equalized Odd,High,0.08086046766082935,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.49393605292171994,0.16538037486218302
4,0,"25,0.27",Equalized Odd,High,0.052918011370510415,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.5093715545755237,0.24476295479603086
5,0,"30,0.37",Equalized Odd,High,0.03261242538416456,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.5535911602209945,0.3624309392265193
6,0,"35,0.44",Equalized Odd,High,0.018443981362452684,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7375132837407014,0.5685441020191286
7,0,"40,0.5",Equalized Odd,High,0.008035889880058699,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7303754266211604,0.6564277588168373
8,0,"45,0.54",Equalized Odd,High,0.0022080908066678994,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7180910099889012,0.7125416204217536
9,0,"50,0.56",Equalized Odd,High,0.0035032647765147803,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7398907103825136,0.8087431693989071
10,0,"55,0.58",Equalized Odd,High,0.003004711245007447,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.745819397993311,0.79041248606466
11,0,"60,0.6",Equalized Odd,High,0.0017945830401194583,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7878453038674034,0.7856353591160221
12,0,"65,0.61",Equalized Odd,High,0.0019865070558246173,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7748344370860927,0.804635761589404
13,0,"70,0.63",Equalized Odd,High,0.0014021572657439397,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7671081677704195,0.7649006622516556
14,0,"75,0.64",Equalized Odd,High,0.001995465239183061,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.723568281938326,0.5759911894273128
15,0,"80,0.65",Equalized Odd,High,0.0019844518931453757,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.7679558011049724,0.5933701657458563
16,0,"85,0.68",Equalized Odd,High,0.001029996850555652,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.0,0.4207650273224044
17,0,"90,0.7",Equalized Odd,High,0.0007447009669456382,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.0,0.37666666666666665
18,0,"95,0.72",Equalized Odd,High,0.0,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.0,0.2289156626506024
19,0,"100,0.74",Equalized Odd,High,,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.0,0.042363433667781496
20,0,"5,-0.99",Equalized Odd,Low,0.034801274319267037,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.4432194046306505,0.6350606394707828
21,0,"10,-0.32",Equalized Odd,Low,0.20458541695591298,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.4696802646085998,0.3770672546857773
22,0,"15,-0.04",Equalized Odd,Low,0.3084991350189384,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.5756906077348066,0.19558011049723756
23,0,"20,0.14",Equalized Odd,Low,0.3384879625400827,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.49393605292171994,0.16538037486218302
24,0,"25,0.27",Equalized Odd,Low,0.3235203106136238,0.8102173673176652,0.8042274992521617,0.0027427660842887,0.4351818790693545,0.4399164409266489,0.0039909013946423,0.5093715545755237,0.24476295479603086
