dataset,model,scenario,portion,I_s_from_x
dutch_census,sgd_lr,1,10,0.056859587606228855
dutch_census,mlp_one_layer,1,10,0.03523910262438253
dutch_census,mlp_two_layer,1,10,0.05615384123294323
dutch_census,sgd_lr,1,20,0.05679437503497419
dutch_census,mlp_one_layer,1,20,0.06489982967949948
dutch_census,mlp_two_layer,1,20,0.06832375529266385
dutch_census,sgd_lr,1,30,0.0570552352885274
dutch_census,mlp_one_layer,1,30,0.08563263604807378
dutch_census,mlp_two_layer,1,30,0.0842404014154426
dutch_census,sgd_lr,1,40,0.0570966494364191
dutch_census,mlp_one_layer,1,40,0.09310066749781438
dutch_census,mlp_two_layer,1,40,0.09042946963831096
dutch_census,sgd_lr,1,50,0.05704186908899423
dutch_census,mlp_one_layer,1,50,0.09035652475848263
dutch_census,mlp_two_layer,1,50,0.09761096243874155
dutch_census,sgd_lr,1,60,0.05728742309199829
dutch_census,mlp_one_layer,1,60,0.09549153739157444
dutch_census,mlp_two_layer,1,60,0.10303251608465765
dutch_census,sgd_lr,1,70,0.05740945923503828
dutch_census,mlp_one_layer,1,70,0.0931178785510493
dutch_census,mlp_two_layer,1,70,0.1069656281910927
dutch_census,sgd_lr,1,80,0.05735524004281477
dutch_census,mlp_one_layer,1,80,0.09477536309997316
dutch_census,mlp_two_layer,1,80,0.10893165982001576
dutch_census,sgd_lr,1,90,0.057420280888183996
dutch_census,mlp_one_layer,1,90,0.09830619679568008
dutch_census,mlp_two_layer,1,90,0.11283123241401449
dutch_census,sgd_lr,1,100,0.05747945072738204
dutch_census,mlp_one_layer,1,100,0.09929024458929002
dutch_census,mlp_two_layer,1,100,0.11192720203406842
dutch_census,sgd_lr,2,10,0.05514913232216936
dutch_census,mlp_one_layer,2,10,0.036092862593526974
dutch_census,mlp_two_layer,2,10,0.05211665806789194
dutch_census,sgd_lr,2,20,0.057021454121416744
dutch_census,mlp_one_layer,2,20,0.06475288654335096
dutch_census,mlp_two_layer,2,20,0.07437529880412652
dutch_census,sgd_lr,2,30,0.05708568806287963
dutch_census,mlp_one_layer,2,30,0.08932486957320247
dutch_census,mlp_two_layer,2,30,0.08755306131007702
dutch_census,sgd_lr,2,40,0.057414570904270164
dutch_census,mlp_one_layer,2,40,0.08584069814236736
dutch_census,mlp_two_layer,2,40,0.09181152347329667
dutch_census,sgd_lr,2,50,0.05713171614760549
dutch_census,mlp_one_layer,2,50,0.09453194467191557
dutch_census,mlp_two_layer,2,50,0.09557844218977542
dutch_census,sgd_lr,2,60,0.05738243725584725
dutch_census,mlp_one_layer,2,60,0.09632425401359701
dutch_census,mlp_two_layer,2,60,0.10200396810285539
dutch_census,sgd_lr,2,70,0.057403150175711376
dutch_census,mlp_one_layer,2,70,0.09524459521938514
dutch_census,mlp_two_layer,2,70,0.1066929024257792
dutch_census,sgd_lr,2,80,0.05742137926400742
dutch_census,mlp_one_layer,2,80,0.09927692440001476
dutch_census,mlp_two_layer,2,80,0.11120620279983012
dutch_census,sgd_lr,2,90,0.05731706412699207
dutch_census,mlp_one_layer,2,90,0.10096853694169984
dutch_census,mlp_two_layer,2,90,0.11271635330467566
dutch_census,sgd_lr,2,100,0.057339746485997885
dutch_census,mlp_one_layer,2,100,0.09758040420111098
dutch_census,mlp_two_layer,2,100,0.11171594162012238
dutch_census,sgd_lr,3,10,0.054322213388161275
dutch_census,mlp_one_layer,3,10,0.043950616218609545
dutch_census,mlp_two_layer,3,10,0.0661962928049989
dutch_census,sgd_lr,3,20,0.05689265998840185
dutch_census,mlp_one_layer,3,20,0.07740902731525481
dutch_census,mlp_two_layer,3,20,0.0745960219053823
dutch_census,sgd_lr,3,30,0.056841986797156435
dutch_census,mlp_one_layer,3,30,0.08131015878890761
dutch_census,mlp_two_layer,3,30,0.08188820408221573
dutch_census,sgd_lr,3,40,0.05721853330993184
dutch_census,mlp_one_layer,3,40,0.09278405148653378
dutch_census,mlp_two_layer,3,40,0.09206673875418785
dutch_census,sgd_lr,3,50,0.05720732899130826
dutch_census,mlp_one_layer,3,50,0.09636245656872137
dutch_census,mlp_two_layer,3,50,0.09688047755330967
dutch_census,sgd_lr,3,60,0.0572779178858517
dutch_census,mlp_one_layer,3,60,0.09035097442619126
dutch_census,mlp_two_layer,3,60,0.10321496574001669
dutch_census,sgd_lr,3,70,0.05740224944556132
dutch_census,mlp_one_layer,3,70,0.09624481290980676
dutch_census,mlp_two_layer,3,70,0.10498987152479446
dutch_census,sgd_lr,3,80,0.05734004913171638
dutch_census,mlp_one_layer,3,80,0.09843662376393554
dutch_census,mlp_two_layer,3,80,0.10626211168830992
dutch_census,sgd_lr,3,90,0.0574352591146373
dutch_census,mlp_one_layer,3,90,0.09820166631156436
dutch_census,mlp_two_layer,3,90,0.10948441354388487
dutch_census,sgd_lr,3,100,0.05741803403076565
dutch_census,mlp_one_layer,3,100,0.09870848866037897
dutch_census,mlp_two_layer,3,100,0.11378285763291243
dutch_census,sgd_lr,4,10,0.055169969801698734
dutch_census,mlp_one_layer,4,10,0.06252918044016313
dutch_census,mlp_two_layer,4,10,0.05596121947024456
dutch_census,sgd_lr,4,20,0.05705068464548569
dutch_census,mlp_one_layer,4,20,0.07845076957737855
dutch_census,mlp_two_layer,4,20,0.07716621047725222
dutch_census,sgd_lr,4,30,0.056885145276405556
dutch_census,mlp_one_layer,4,30,0.08490340347511856
dutch_census,mlp_two_layer,4,30,0.08339954655603916
dutch_census,sgd_lr,4,40,0.05719853223934679
dutch_census,mlp_one_layer,4,40,0.08976466305385404
dutch_census,mlp_two_layer,4,40,0.0957953801480969
dutch_census,sgd_lr,4,50,0.05729522592802005
dutch_census,mlp_one_layer,4,50,0.09416174042961376
dutch_census,mlp_two_layer,4,50,0.09871363408717528
dutch_census,sgd_lr,4,60,0.05722439127792711
dutch_census,mlp_one_layer,4,60,0.08993878872407057
dutch_census,mlp_two_layer,4,60,0.10286908467663851
dutch_census,sgd_lr,4,70,0.05744046848285514
dutch_census,mlp_one_layer,4,70,0.08648072366288348
dutch_census,mlp_two_layer,4,70,0.10388058251342153
dutch_census,sgd_lr,4,80,0.05731854538348202
dutch_census,mlp_one_layer,4,80,0.09934148713116422
dutch_census,mlp_two_layer,4,80,0.10914251935693492
dutch_census,sgd_lr,4,90,0.05739744812453186
dutch_census,mlp_one_layer,4,90,0.096688796610434
dutch_census,mlp_two_layer,4,90,0.11359579209381568
dutch_census,sgd_lr,4,100,0.057401161897456164
dutch_census,mlp_one_layer,4,100,0.1021101437093467
dutch_census,mlp_two_layer,4,100,0.11511255884922175
census_income,sgd_lr,1,10,0.1897280564028211
census_income,mlp_one_layer,1,10,0.28161228088211804
census_income,mlp_two_layer,1,10,0.24489606873916214
census_income,sgd_lr,1,20,0.19028303262501645
census_income,mlp_one_layer,1,20,0.3074723367905493
census_income,mlp_two_layer,1,20,0.2782630279161368
census_income,sgd_lr,1,30,0.19074770964128132
census_income,mlp_one_layer,1,30,0.316875562876782
census_income,mlp_two_layer,1,30,0.2944203776480238
census_income,sgd_lr,1,40,0.19095604546868583
census_income,mlp_one_layer,1,40,0.3230127806662607
census_income,mlp_two_layer,1,40,0.30707974970243995
census_income,sgd_lr,1,50,0.1911246292128491
census_income,mlp_one_layer,1,50,0.3277193900145026
census_income,mlp_two_layer,1,50,0.30798478531118223
census_income,sgd_lr,1,60,0.191049382044857
census_income,mlp_one_layer,1,60,0.32871114459506867
census_income,mlp_two_layer,1,60,0.31258731519747446
census_income,sgd_lr,1,70,0.19113131177392226
census_income,mlp_one_layer,1,70,0.3378297891318608
census_income,mlp_two_layer,1,70,0.31579872363481604
census_income,sgd_lr,1,80,0.19125947114252004
census_income,mlp_one_layer,1,80,0.3378407303130067
census_income,mlp_two_layer,1,80,0.31415339244914403
census_income,sgd_lr,1,90,0.19110378784534954
census_income,mlp_one_layer,1,90,0.34244342730974475
census_income,mlp_two_layer,1,90,0.3180202137329557
census_income,sgd_lr,1,100,0.1912246911361683
census_income,mlp_one_layer,1,100,0.34041374225549315
census_income,mlp_two_layer,1,100,0.325727891343732
census_income,sgd_lr,2,10,0.18794657714757554
census_income,mlp_one_layer,2,10,0.27859797407481135
census_income,mlp_two_layer,2,10,0.23245516056800647
census_income,sgd_lr,2,20,0.19047094719600463
census_income,mlp_one_layer,2,20,0.30424627744994764
census_income,mlp_two_layer,2,20,0.2754800667051881
census_income,sgd_lr,2,30,0.1908134618513831
census_income,mlp_one_layer,2,30,0.3217933128823935
census_income,mlp_two_layer,2,30,0.28711498077381886
census_income,sgd_lr,2,40,0.19095925646448914
census_income,mlp_one_layer,2,40,0.3234754715958681
census_income,mlp_two_layer,2,40,0.3018715653989902
census_income,sgd_lr,2,50,0.19080667511839594
census_income,mlp_one_layer,2,50,0.32665953216800087
census_income,mlp_two_layer,2,50,0.3119463333278397
census_income,sgd_lr,2,60,0.19095830237275874
census_income,mlp_one_layer,2,60,0.3327079685786515
census_income,mlp_two_layer,2,60,0.3117903283886966
census_income,sgd_lr,2,70,0.19124083920642568
census_income,mlp_one_layer,2,70,0.3330033907918213
census_income,mlp_two_layer,2,70,0.32191093949515254
census_income,sgd_lr,2,80,0.19129450246991325
census_income,mlp_one_layer,2,80,0.3349283824530055
census_income,mlp_two_layer,2,80,0.31901412812695956
census_income,sgd_lr,2,90,0.19126935370870365
census_income,mlp_one_layer,2,90,0.3373789122802988
census_income,mlp_two_layer,2,90,0.3151491227609124
census_income,sgd_lr,2,100,0.19111114919315728
census_income,mlp_one_layer,2,100,0.33872753755874996
census_income,mlp_two_layer,2,100,0.3227055860428842
census_income,sgd_lr,3,10,0.19107080732184303
census_income,mlp_one_layer,3,10,0.27990391290135574
census_income,mlp_two_layer,3,10,0.22638649320598248
census_income,sgd_lr,3,20,0.1903529058849199
census_income,mlp_one_layer,3,20,0.30135993278859713
census_income,mlp_two_layer,3,20,0.2574614804905718
census_income,sgd_lr,3,30,0.19068458304580105
census_income,mlp_one_layer,3,30,0.3202972764547526
census_income,mlp_two_layer,3,30,0.3044909849681188
census_income,sgd_lr,3,40,0.19080555589997314
census_income,mlp_one_layer,3,40,0.3217487474591101
census_income,mlp_two_layer,3,40,0.31152630953071203
census_income,sgd_lr,3,50,0.1912643542452536
census_income,mlp_one_layer,3,50,0.33131248025667137
census_income,mlp_two_layer,3,50,0.31338060080188257
census_income,sgd_lr,3,60,0.1910146656849213
census_income,mlp_one_layer,3,60,0.33064811070116734
census_income,mlp_two_layer,3,60,0.31119350124362477
census_income,sgd_lr,3,70,0.19110178990168813
census_income,mlp_one_layer,3,70,0.3333413296614165
census_income,mlp_two_layer,3,70,0.3126149845438361
census_income,sgd_lr,3,80,0.1911027378233332
census_income,mlp_one_layer,3,80,0.3377172540359408
census_income,mlp_two_layer,3,80,0.31860874832210956
census_income,sgd_lr,3,90,0.1910851596002504
census_income,mlp_one_layer,3,90,0.33446229164244373
census_income,mlp_two_layer,3,90,0.31812290896311785
census_income,sgd_lr,3,100,0.19111789683897687
census_income,mlp_one_layer,3,100,0.33873865946876514
census_income,mlp_two_layer,3,100,0.32016848291830213
census_income,sgd_lr,4,10,0.18861641304775478
census_income,mlp_one_layer,4,10,0.2710239782547525
census_income,mlp_two_layer,4,10,0.24268464463625325
census_income,sgd_lr,4,20,0.19027397580825048
census_income,mlp_one_layer,4,20,0.3067150308584027
census_income,mlp_two_layer,4,20,0.27813837404712466
census_income,sgd_lr,4,30,0.19079282508041687
census_income,mlp_one_layer,4,30,0.3187942590215176
census_income,mlp_two_layer,4,30,0.3042401109288178
census_income,sgd_lr,4,40,0.19063453021964594
census_income,mlp_one_layer,4,40,0.3235538981821122
census_income,mlp_two_layer,4,40,0.30105138356086825
census_income,sgd_lr,4,50,0.19110009799670277
census_income,mlp_one_layer,4,50,0.3273625344717911
census_income,mlp_two_layer,4,50,0.3148756337262087
